1502955000 21326200 16.27 Thu, 17 Aug 2017 07:30:00 GMT
1502956800 20343704 15.52 Thu, 17 Aug 2017 08:00:00 GMT
1502958600 21838040 16.66 Thu, 17 Aug 2017 08:30:00 GMT
1502992801 24747072 18.88 Thu, 17 Aug 2017 18:00:01 GMT
1502996400 15728928 12.00 Thu, 17 Aug 2017 19:00:00 GMT
1503000000 18312160 13.97 Thu, 17 Aug 2017 20:00:00 GMT
1503003600 17282632 13.19 Thu, 17 Aug 2017 21:00:00 GMT
1503007200 18563416 14.16 Thu, 17 Aug 2017 22:00:00 GMT
1503010800 19648664 14.99 Thu, 17 Aug 2017 23:00:00 GMT
1503014400 26869840 20.50 Fri, 18 Aug 2017 00:00:00 GMT
1503036000 20165600 15.38 Fri, 18 Aug 2017 06:00:00 GMT
1503039600 7922760 6.04 Fri, 18 Aug 2017 07:00:00 GMT
1503043200 18467096 14.09 Fri, 18 Aug 2017 08:00:00 GMT
1503046800 19505312 14.88 Fri, 18 Aug 2017 09:00:00 GMT
1503050400 17638840 13.46 Fri, 18 Aug 2017 10:00:00 GMT
